Cluster 1,Cluster 2,Cluster 3,Cluster 1A,Cluster 1B,Cluster 1C,Cluster 2B
SIDT1,LRCH2,,,,,
SKIDA1,LRP10,,,,,
SLC15A3,LRRC66,,,,,
SLC17A8,LRRIQ4,,,,,
SOCS1,LYN,,,,,
SOCS2,LYPD1,,,,,
SOCS3,LYPD5,,,,,
SOX9,LYSMD2,,,,,
SP100,MAML2,,,,,
SP110,MAP2,,,,,
STARD5,MAP2K6,,,,,
STARD8,MAP3K8,,,,,
STAT1,MASTL,,,,,
STAT2,MAX,,,,,
SYNPO2,MDK,,,,,
TAP1,MIPOL1,,,,,
TAP2,MMAA,,,,,
TDRD7,MOB3C,,,,,
TEAD4,MOCOS,,,,,
TGM2,MOV10,,,,,
TLCD2,MR1,,,,,
TLR3,MSS51,,,,,
TMEM140,MST1R,,,,,
TNFRSF1A,MSX1,,,,,
TNFSF10,MT1E,,,,,
TNFSF11,MT1F,,,,,
TRANK1,MT1X,,,,,
TRIM14,MTMR11,,,,,
TRIM21,MUC13,,,,,
TRIM22,MVB12A,,,,,
TRIM25,MYCBP2,,,,,
TRIM34,NR1H4,,,,,
TRIM38,NFKB2,,,,,
TRIM5,RHBDD3,,,,,
TRIM56,RELB,,,,,
TRIM69,NR5A2,,,,,
TRIM7,TNFRSF10B,,,,,
TYMP,BAI2,,,,,
UBA7,FKBP11,,,,,
UBE2L6,LRP4,,,,,
UNC93B1,EHF,,,,,
USP18,INHBE,,,,,
USP41,ATF5,,,,,
VNN3,APOF,,,,,
WNT4,HIST3H2A,,,,,
XAF1,CACNB4,,,,,
ZBP1,TUBA8,,,,,
ZC3HAV1,CYP4F2,,,,,
ZNF217,H1F0,,,,,
ZNFX1,KCNRG,,,,,
,SHISA4,,,,,
,HIST2H2BF,,,,,
,XAGE1D,,,,,
,XAGE1A,,,,,
,NFAM1,,,,,
,KLHL41,,,,,
,TGIF2-C20ORF24,,,,,
,0PA,,,,,
,NBN,,,,,
,NDUFA9,,,,,
,NEXN,,,,,
,NFIX,,,,,
,NFKBIA,,,,,
,NKD1,,,,,
,NKX3-1,,,,,
,NOD1,,,,,
,NOTCH1,,,,,
,NPFFR2,,,,,
,NRG2,,,,,
,NRP1,,,,,
,NT5C3A,,,,,
,NTRK2,,,,,
,NUDCD1,,,,,
,ODF3B,,,,,
,OLFML3,,,,,
,OPTN,,,,,
,OTUD4,,,,,
,OVOL1,,,,,
,PARP3,,,,,
,PARP8,,,,,
,PAX5,,,,,
,PCDH17,,,,,
,PCDH20,,,,,
,PCDHAC2,,,,,
,PCGF5,,,,,
,PDXK,,,,,
,PEX5L,,,,,
,PHF15,,,,,
,PI4K2B,,,,,
,PLA1A,,,,,
,PLA2G16,,,,,
,PLA2G4C,,,,,
,PLAC8,,,,,
,PLCD1,,,,,
,PLCH1,,,,,
,PLCL1,,,,,
,PLEKHA7,,,,,
,PLEKHG1,,,,,
,PLK2,,,,,
,PLSCR4,,,,,
,PMAIP1,,,,,
,PODXL,,,,,
,POU3F2,,,,,
,POU4F2,,,,,
,PPA1,,,,,
,PPAP2B,,,,,
,PPFIA2,,,,,
,PPIC,,,,,
,PPP2R2A,,,,,
,PRKCE,,,,,
,PRKCQ,,,,,
,PROCR,,,,,
,PROS1,,,,,
,PRPH,,,,,
,PRR15,,,,,
,PRRG4,,,,,
,PSMA3,,,,,
,PSMA4,,,,,
,PSMA5,,,,,
,PSMA6,,,,,
,PSME1,,,,,
,PSME2,,,,,
,PTK2B,,,,,
,PTPRK,,,,,
,PXDC1,,,,,
